id,x,y,diameter,neighbors,distances,angles,units,um/px
34,628.5,457.0,8.544203758239746,"[28, 25, 46, 17]",[15.86 20.43 22.91 37.55],[ 144.94   79.67 -157.21  134.73],pixels,0.6666666666666666
35,589.4310302734375,460.1206970214844,16.365890502929688,"[46, 18, 17, 28]",[21.58 21.84 26.74 26.76],[-33.76 119.87  61.78  12.93],pixels,0.6666666666666666
36,309.4259338378906,458.870361328125,25.506473541259766,"[44, 19, 37, 16]",[19.47 24.45 30.11 31.18],[-49.78 108.15   4.48  54.26],pixels,0.6666666666666666
37,339.4444580078125,461.22222900390625,22.62979507446289,"[44, 20, 16, 36]",[24.51 24.77 25.81 30.11],[-135.37   51.1   117.23 -175.52],pixels,0.6666666666666666
38,204.4719696044922,458.2850341796875,17.324487686157227,"[30, 48, 27, 45]",[18.24 19.43 22.2  23.88],[  13.52 -104.82  147.81 -153.15],pixels,0.6666666666666666
39,165.9915313720703,456.6525573730469,14.034351348876953,"[45, 23, 27, 48]",[19.46 22.73 23.85 37.64],[-28.05  91.45  34.34 -27.11],pixels,0.6666666666666666
40,67.26470947265625,457.26470947265625,18.139419555664062,"[22, 42, 33, 7]",[24.87 27.47 28.63 37.28],[ 111.4  -157.13  168.37   92.71],pixels,0.6666666666666666
41,466.875,453.40625,17.768787384033203,"[43, 47, 32, 24]",[18.63 19.75 24.42 26.1 ],[-161.8   -26.81   29.38   89.26],pixels,0.6666666666666666
42,41.95454406738281,446.5909118652344,5.182820796966553,"[33, 40, 22, 14]",[16.67 27.47 37.52 41.17],[99.45 22.87 64.36 95.76],pixels,0.6666666666666666
43,449.1764831542969,447.5882263183594,11.421672821044922,"[41, 29, 47, 24]",[18.63 22.39 35.46 36.66],[ 18.2  109.32  -5.    60.52],pixels,0.6666666666666666
44,322.0,444.0,4.4723358154296875,"[36, 37, 16, 19]",[19.47 24.51 40.57 43.12],[130.22  44.63  82.02 117.92],pixels,0.6666666666666666
45,183.1666717529297,447.5,12.693145751953125,"[48, 39, 27, 38]",[18.19 19.46 22.75 23.88],[-26.1  151.95  83.64  26.85],pixels,0.6666666666666666
46,607.375,448.125,16.298206329345703,"[28, 35, 34, 17]",[19.74 21.58 22.91 35.95],[ 65.64 146.24  22.79  98.48],pixels,0.6666666666666666
47,484.5,444.5,11.401954650878906,"[41, 32, 26, 43]",[19.75 21.2  30.4  35.46],[153.19  80.08  53.7  175.  ],pixels,0.6666666666666666
48,199.5,439.5,10.295830726623535,"[45, 38, 30, 27]",[18.19 19.43 32.36 33.58],[153.9   75.18  45.43 114.29],pixels,0.6666666666666666
49,613.6764526367188,369.8529357910156,7.823980331420898,"[65, 55, 51, 71]",[19.6  20.78 23.66 38.9 ],[ -92.84  -33.05 -163.68  -51.51],pixels,0.6666666666666666
50,471.6428527832031,366.9285583496094,10.926651000976562,"[54, 61, 82, 81]",[16.22 20.11 32.04 37.95],[-161.25  -27.39  -79.89 -131.49],pixels,0.6666666666666666
51,590.9705810546875,363.20587158203125,14.148468017578125,"[49, 65, 79, 55]",[23.66 25.29 26.91 40.39],[  16.32  -30.74 -107.23   -6.66],pixels,0.6666666666666666
52,341.8333435058594,365.5,17.159574508666992,"[59, 67, 56, 68]",[20.52 21.38 24.05 25.71],[ -33.24  -75.47 -172.29 -125.24],pixels,0.6666666666666666
53,743.5,361.5,13.341864585876465,"[62, 58, 78, 80]",[20.08 21.1  25.42 35.53],[-151.36  -19.17  -94.11  -50.71],pixels,0.6666666666666666
54,456.28570556640625,361.71429443359375,12.652560234069824,"[50, 81, 61, 82]",[16.22 25.19 33.46 33.67],[  18.75 -112.86   -6.93  -51.45],pixels,0.6666666666666666
55,631.0908813476562,358.5227355957031,9.305124282836914,"[65, 71, 49, 51]",[20.15 20.29 20.78 40.39],[-155.85  -70.42  146.95  173.34],pixels,0.6666666666666666
56,318.0,362.2727355957031,17.651567459106445,"[68, 52, 72, 67]",[19.92 24.05 26.76 34.03],[ -63.14    7.71 -128.07  -30.9 ],pixels,0.6666666666666666
57,196.43370056152344,359.6215515136719,17.52554702758789,"[66, 63, 75, 64]",[19.15 22.87 24.14 24.17],[ -61.93  -19.46 -116.93 -161.62],pixels,0.6666666666666666
58,763.4285888671875,354.5714416503906,10.101719856262207,"[80, 53, 78, 62]",[20.73 21.1  28.51 37.65],[ -82.88  160.83 -139.73 -175.89],pixels,0.6666666666666666
59,359.0,354.25,10.307964324951172,"[67, 74, 52, 68]",[15.12 18.34 20.52 33.45],[-141.31  -63.55  146.76 -163.05],pixels,0.6666666666666666
60,54.0,357.0,14.560420036315918,"[70, 77, 69, 96]",[18.85 26.87 26.94 38.5 ],[-111.8   -40.64 -151.01  -85.01],pixels,0.6666666666666666
